time (s),/Vline (V),/Vout (V)
593.3E-3,1.409,998.8E-3
594.2E-3,1.405,999.0E-3
595.0E-3,1.400,998.8E-3
595.8E-3,1.395,999.0E-3
596.7E-3,1.391,998.8E-3
597.5E-3,1.390,998.9E-3
598.3E-3,1.391,998.8E-3
599.2E-3,1.395,999.0E-3
600.0E-3,1.400,998.8E-3
600.8E-3,1.405,999.0E-3
601.7E-3,1.409,998.8E-3
602.5E-3,1.410,999.0E-3
603.3E-3,1.409,998.8E-3
604.2E-3,1.405,999.0E-3
605.0E-3,1.400,998.8E-3
605.8E-3,1.395,998.9E-3
606.7E-3,1.391,998.8E-3
607.5E-3,1.390,998.9E-3
608.3E-3,1.391,998.8E-3
609.2E-3,1.395,998.9E-3
610.0E-3,1.400,998.8E-3
610.8E-3,1.405,999.0E-3
611.7E-3,1.409,998.8E-3
612.5E-3,1.410,999.0E-3
613.3E-3,1.409,998.8E-3
614.2E-3,1.405,999.0E-3
615.0E-3,1.400,998.8E-3
615.8E-3,1.395,998.9E-3
616.7E-3,1.391,998.8E-3
617.5E-3,1.390,998.9E-3
618.3E-3,1.391,998.8E-3
619.2E-3,1.395,998.9E-3
620.0E-3,1.400,998.8E-3
620.8E-3,1.405,999.0E-3
621.7E-3,1.409,998.8E-3
622.5E-3,1.410,999.0E-3
623.3E-3,1.409,998.8E-3
624.2E-3,1.405,999.0E-3
625.0E-3,1.400,998.8E-3
625.8E-3,1.395,998.9E-3
626.7E-3,1.391,998.8E-3
627.5E-3,1.390,998.9E-3
628.3E-3,1.391,998.8E-3
629.2E-3,1.395,998.9E-3
630.0E-3,1.400,998.8E-3
630.8E-3,1.405,999.0E-3
631.7E-3,1.409,998.8E-3
632.5E-3,1.410,999.0E-3
633.3E-3,1.409,998.8E-3
634.2E-3,1.405,999.0E-3
635.0E-3,1.400,998.8E-3
635.8E-3,1.395,998.9E-3
636.7E-3,1.391,998.8E-3
637.5E-3,1.390,998.9E-3
638.3E-3,1.391,998.8E-3
639.2E-3,1.395,998.9E-3
640.0E-3,1.400,998.8E-3
640.8E-3,1.405,999.0E-3
641.7E-3,1.409,998.8E-3
642.5E-3,1.410,999.0E-3
