freq (Hz),"dB20((VF(""/Vout"") / VF(""/Vline""))) (dB)",Vline (V),Vout (V)
3.155,-27.97,1.00E-02,4.00E-04
3.162,-27.97,1.00E-02,4.00E-04
3.17,-27.97,1.00E-02,4.00E-04
3.177,-27.97,1.00E-02,4.00E-04
3.184,-27.97,1.00E-02,4.00E-04
3.192,-27.97,1.00E-02,4.00E-04
3.199,-27.97,1.00E-02,4.00E-04
3.206,-27.97,1.00E-02,4.00E-04
3.214,-27.97,1.00E-02,4.00E-04
3.221,-27.97,1.00E-02,4.00E-04
3.228,-27.97,1.00E-02,4.00E-04
3.236,-27.97,1.00E-02,4.00E-04
3.243,-27.97,1.00E-02,4.00E-04
3.251,-27.97,1.00E-02,4.00E-04
3.258,-27.97,1.00E-02,4.00E-04
3.266,-27.97,1.00E-02,4.00E-04
3.273,-27.97,1.00E-02,4.00E-04
3.281,-27.97,1.00E-02,4.00E-04
3.289,-27.97,1.00E-02,4.00E-04
3.296,-27.97,1.00E-02,4.00E-04
3.304,-27.97,1.00E-02,4.00E-04
3.311,-27.97,1.00E-02,4.00E-04
3.319,-27.97,1.00E-02,4.00E-04
3.327,-27.97,1.00E-02,4.00E-04
3.334,-27.97,1.00E-02,4.00E-04
3.342,-27.97,1.00E-02,4.00E-04
3.35,-27.97,1.00E-02,4.00E-04
3.357,-27.97,1.00E-02,4.00E-04
3.365,-27.97,1.00E-02,4.00E-04
3.373,-27.97,1.00E-02,4.00E-04
3.381,-27.97,1.00E-02,4.00E-04
3.388,-27.97,1.00E-02,4.00E-04
3.396,-27.97,1.00E-02,4.00E-04
3.404,-27.97,1.00E-02,4.00E-04
3.412,-27.97,1.00E-02,4.00E-04
3.42,-27.97,1.00E-02,4.00E-04
3.428,-27.97,1.00E-02,4.00E-04
3.436,-27.97,1.00E-02,4.00E-04
3.443,-27.97,1.00E-02,4.00E-04
3.451,-27.97,1.00E-02,4.00E-04
3.459,-27.97,1.00E-02,4.00E-04
3.467,-27.97,1.00E-02,4.00E-04
3.475,-27.97,1.00E-02,4.00E-04
3.483,-27.97,1.00E-02,4.00E-04
3.491,-27.97,1.00E-02,4.00E-04
3.499,-27.97,1.00E-02,4.00E-04
3.508,-27.97,1.00E-02,4.00E-04
3.516,-27.97,1.00E-02,4.00E-04
3.524,-27.97,1.00E-02,4.00E-04
3.532,-27.97,1.00E-02,4.00E-04
3.54,-27.97,1.00E-02,4.00E-04
3.548,-27.97,1.00E-02,4.00E-04
3.556,-27.97,1.00E-02,4.00E-04
3.565,-27.97,1.00E-02,4.00E-04
3.573,-27.97,1.00E-02,4.00E-04
3.581,-27.97,1.00E-02,4.00E-04
3.589,-27.97,1.00E-02,4.00E-04
3.597,-27.97,1.00E-02,4.00E-04
3.606,-27.97,1.00E-02,4.00E-04
3.614,-27.97,1.00E-02,4.00E-04
3.622,-27.97,1.00E-02,4.00E-04
3.631,-27.97,1.00E-02,4.00E-04
3.639,-27.97,1.00E-02,4.00E-04
3.648,-27.97,1.00E-02,4.00E-04
3.656,-27.97,1.00E-02,4.00E-04
3.664,-27.97,1.00E-02,4.00E-04
3.673,-27.97,1.00E-02,4.00E-04
